State Name,Technology,Geography ID,Technical Generation Potential - MWh MWh
Alabama,hydro,G01,6615637.015
Ohio,hydro,G39,6604687.273
Arkansas,residential_pv,G05,6529459.01
Mississippi,residential_pv,G28,6393531.62
Idaho,geothermal,G16,6170193.6
Indiana,hydro,G18,5939920.759
New Jersey,land_based_wind,G34,5882256.27
Arizona,biopower,G04,5878410.954
Oregon,residential_pv,G41,5836981.95
Georgia,floating_pv,G13,5675869.682
Vermont,biopower,G50,5530583.419
Connecticut,residential_pv,G09,5169227.88
New Mexico,residential_pv,G35,4991523.39
Utah,biopower,G49,4982533.074
Iowa,csp,G19,4976544.37
Utah,hydro,G49,4901946.212
Wisconsin,hydro,G55,4760394.441
Nebraska,residential_pv,G31,4666235.46
Arizona,commercial_pv,G04,4547713.92
Maryland,biopower,G24,4387044.127
Arkansas,floating_pv,G05,4380128.701
Utah,commercial_pv,G49,4360765.93
New Mexico,commercial_pv,G35,4288135.88
New Hampshire,biopower,G33,4274173.401
Utah,residential_pv,G49,4248351.79
Wisconsin,floating_pv,G55,4185156.85
Maine,commercial_pv,G23,3992810.85
Wyoming,hydro,G56,3888036.419
Connecticut,floating_pv,G09,3873620.81
New Hampshire,commercial_pv,G33,3629756.41
Nevada,residential_pv,G32,3542265.31
Utah,geothermal,G49,3505752
West Virginia,residential_pv,G54,3404772.05
West Virginia,commercial_pv,G54,3329281.25
Rhode Island,commercial_pv,G44,3320334.05
South Carolina,hydro,G45,3304546.023
Louisiana,floating_pv,G22,3018627.871
New Hampshire,hydro,G33,2965398.683
Tennessee,csp,G47,2830267.84
Florida,hydro,G12,2698741.246
Idaho,residential_pv,G16,2631715.67
Maryland,hydro,G24,2575790.171
Vermont,hydro,G50,2502829.486
Iowa,floating_pv,G19,2467663.831
New Jersey,floating_pv,G34,2412666.815
Michigan,hydro,G26,2370413.569
Mississippi,hydro,G28,2225101.298
Maine,residential_pv,G23,2222215.31
District of Columbia,commercial_pv,G11,2206934.58
New Hampshire,floating_pv,G33,2067315.209
Missouri,floating_pv,G29,2051977.574
New Hampshire,residential_pv,G33,2041883.74
Minnesota,offshore_wind,G27,1955232
Vermont,commercial_pv,G50,1890242.39
South Dakota,residential_pv,G46,1879930.44
Kentucky,floating_pv,G21,1845859.576
Delaware,commercial_pv,G10,1831132.95
South Dakota,commercial_pv,G46,1800909.76
Nevada,hydro,G32,1789251.515
North Dakota,floating_pv,G38,1752056.197
Illinois,floating_pv,G17,1719909.814
South Dakota,floating_pv,G46,1712617.299
Delaware,residential_pv,G10,1687076.53
Delaware,land_based_wind,G10,1605114.55
Idaho,commercial_pv,G16,1577308.99
Montana,residential_pv,G30,1552311.45
North Dakota,commercial_pv,G38,1517301.88
Indiana,floating_pv,G18,1461824.643
Rhode Island,residential_pv,G44,1366555.49
District of Columbia,biopower,G11,1349022.885
North Dakota,residential_pv,G38,1307579.94
District of Columbia,distributed_wind,G11,1215472.75
Massachusetts,hydro,G25,1211043.349
Tennessee,floating_pv,G47,1184847.581
Connecticut,hydro,G09,1176438.211
Wyoming,residential_pv,G56,1151794.26
Colorado,geothermal,G08,1151151.6
New Mexico,geothermal,G35,1135821.6
Rhode Island,floating_pv,G44,1120719.296
Delaware,biopower,G10,1084025.86
Montana,geothermal,G30,1021065.6
New Jersey,hydro,G34,1016023.891
Vermont,residential_pv,G50,986654.55
Alabama,floating_pv,G01,943686.905
Arizona,geothermal,G04,919800
District of Columbia,hydro,G11,752065.4986
Wyoming,commercial_pv,G56,712259.42
Wyoming,geothermal,G56,678724.8
Maryland,floating_pv,G24,636282.557
Rhode Island,land_based_wind,G44,629803.52
Massachusetts,biopower,G25,622101.7124
Washington,geothermal,G53,596556
Pennsylvania,floating_pv,G42,586652.442
Vermont,floating_pv,G50,554717.71
West Virginia,floating_pv,G54,486379.01
New Jersey,biopower,G34,458792.5453
Wyoming,biopower,G56,413993.661
Montana,commercial_pv,G30,378283.87
Massachusetts,floating_pv,G25,295104.288
Connecticut,biopower,G09,185522.3771
Virginia,csp,G51,161794.09
District of Columbia,residential_pv,G11,156982.18
Ohio,floating_pv,G39,94956.419
Rhode Island,biopower,G44,50600.22764
Delaware,floating_pv,G10,41469.414
Rhode Island,hydro,G44,20447.89627
Illinois,csp,G17,0
Minnesota,csp,G27,0
Wisconsin,csp,G55,0
West Virginia,csp,G54,0
Maryland,csp,G24,0
Rhode Island,csp,G44,0
New Hampshire,csp,G33,0
Vermont,csp,G50,0
Connecticut,csp,G09,0
Delaware,csp,G10,0
New Jersey,csp,G34,0
Pennsylvania,csp,G42,0
Ohio,csp,G39,0
Maine,csp,G23,0
New York,csp,G36,0
Massachusetts,csp,G25,0
District of Columbia,utility_pv,G11,0
District of Columbia,csp,G11,0
Kentucky,csp,G21,0
Michigan,csp,G26,0
Indiana,csp,G18,0
